,Orderdate,PiecesOrdered,PiecesDelivered,PiecesReturned,Demand,Sales,ReturnValue
0,2000-01-01,4606,4606,1831,99239.19,45232.51,41420.48
1,2004-11-01,12,12,7,350.0,119.95,183.72
2,2005-09-01,8,8,0,204.0,179.74,0.0
3,2007-01-01,1,1,0,25.0,21.81,0.0
4,2007-07-01,8,8,4,195.0,110.74,72.57
5,2007-08-01,7,7,1,175.0,133.14000000000001,16.6
6,2007-09-01,228,228,104,7065.0,3238.7200000000003,2847.62
7,2007-10-01,573,573,231,17923.2,8989.68,6548.150000000001
8,2007-11-01,2271,2271,952,64887.78,32401.49,24373.27
9,2007-12-01,3695,3695,1065,97532.31,60310.58,27763.0
10,2008-01-01,69729,69728,29174,1717873.04,819714.45,676938.72
11,2008-02-01,95575,95575,41987,2309619.9,1050314.62,955669.42
12,2008-03-01,67547,67547,26371,1608872.22,809554.81,604051.37
13,2008-04-01,71396,71396,28744,1736390.27,847358.99,665337.32
14,2008-05-01,52130,52130,18242,1217670.88,659217.33,410504.09
15,2008-06-01,50573,50573,16699,1161257.2,652554.82,371141.75
16,2008-07-01,40230,40230,14411,960861.29,514561.46,326410.79
17,2008-08-01,45445,45445,17855,1078897.33,534511.45,404366.19
18,2008-09-01,99659,99658,40298,2376536.16,1137316.16,940625.53
19,2008-10-01,78644,78644,32183,1897240.83,913813.34,747508.45
20,2008-11-01,101625,101625,43493,2445620.29,1139604.87,990575.63
21,2008-12-01,55479,55479,21124,1307747.72,670756.36,476254.19
22,2009-01-01,95961,95961,42397,2274368.52,1032293.86,951690.41
23,2009-02-01,95542,95542,42584,2221108.48,996504.66,942774.3
24,2009-03-01,89649,89645,37805,2092842.1,984889.61,844600.99
25,2009-04-01,73857,73849,29785,1702624.15,831240.43,657857.8
26,2009-05-01,54687,54681,20792,1259458.33,647417.4,456514.33
27,2009-06-01,58947,58898,22739,1350814.38,681507.37,499335.73
28,2009-07-01,46986,46986,16914,1076826.97,572427.64,375070.22
29,2009-08-01,56181,56176,22238,1256800.76,613417.8,480902.67
30,2009-09-01,102512,102502,41371,2335264.04,1122646.19,924799.89
31,2009-10-01,93180,93180,38415,2156979.5,1015335.8,872617.05
32,2009-11-01,114996,114991,47195,2627641.62,1234846.39,1061833.79
33,2009-12-01,59678,59678,22149,1364795.54,690747.27,505540.45
34,2010-01-01,88381,88381,37681,2049958.42,920675.27,865448.21
35,2010-02-01,105779,105779,47256,2524527.73,1098303.37,1104308.61
36,2010-03-01,98433,98430,41491,2342991.74,1093977.58,956880.85
37,2010-04-01,79339,79339,32434,1859616.7,881172.56,741524.93
38,2010-05-01,64916,64916,24749,1472165.09,732159.3,561905.69
39,2010-06-01,60839,60834,22051,1363464.63,708430.69,492476.53
40,2010-07-01,49080,49080,16841,1107630.47,587156.57,379002.98
41,2010-08-01,60523,60521,23320,1403875.46,677073.59,550104.71
42,2010-09-01,118681,118637,48071,2901386.85,1336936.93,1195582.39
43,2010-10-01,110648,110579,46320,2730625.13,1247226.62,1143299.82
44,2010-11-01,128024,127918,53090,3068642.17,1415999.4,1295957.74
45,2010-12-01,71021,70888,26741,1699081.03,854933.91,665256.29
46,2011-01-01,84030,81476,32662,1897228.16,933650.08,839059.97
47,2011-02-01,134952,127376,57354,3037387.17,1402477.03,1494038.38
48,2011-03-01,135308,125569,51597,2945371.19,1438421.09,1328273.72
49,2011-04-01,81550,74725,28520,1778569.72,926346.24,724886.09
50,2011-05-01,87283,80225,30112,1860996.98,975586.46,759172.79
51,2011-06-01,61961,55350,20853,1367611.86,714510.97,536505.92
52,2011-07-01,58112,50967,18822,1332500.93,714956.48,490029.11
53,2011-08-01,70802,63257,25838,1673307.55,849737.34,689665.3
54,2011-09-01,122245,111215,47594,2967714.57,1458737.82,1304214.89
55,2011-10-01,98050,88606,38530,2448106.64,1185212.19,1079737.75
56,2011-11-01,120409,108183,48354,3033893.16,1430027.44,1360524.85
57,2011-12-01,78149,69229,26591,1838380.53,904981.66,744956.05
58,2012-01-01,102898,93474,41275,2547906.3,1206137.39,1143611.59
59,2012-02-01,136573,126677,59578,3456216.53,1574462.27,1667792.69
60,2012-03-01,110295,102646,45977,2773330.61,1323771.95,1268806.95
61,2012-04-01,81707,77244,34025,2045321.73,999654.08,937105.73
62,2012-05-01,79398,74796,30706,1964671.23,1017021.52,836293.9
63,2012-06-01,88123,84675,24647,1621674.85,865386.62,665495.99
64,2012-07-01,63773,61031,23606,1546507.34,840226.49,640920.53
65,2012-08-01,80833,78391,30535,1976366.94,1069913.24,844304.07
66,2012-09-01,111277,107787,47121,2898907.39,1459601.44,1350976.75
67,2012-10-01,110705,107266,46136,2905810.05,1480413.31,1336694.89
68,2012-11-01,115092,111106,47249,3018906.24,1533395.67,1375517.69
69,2012-12-01,60728,58611,23364,1595784.2,851306.88,689790.18
70,2013-01-01,123853,119354,53421,3249540.24,1585087.61,1535737.61
71,2013-02-01,126524,122851,55151,3311486.35,1650696.81,1558410.87
72,2013-03-01,103582,101043,42420,2684627.37,1412819.57,1197826.14
73,2013-04-01,109818,107333,45642,2816284.61,1484565.78,1266112.43
74,2013-05-01,83313,81162,30442,2037892.71,1126646.85,852143.66
75,2013-06-01,79917,77860,28943,1990707.14,1137904.08,799702.36
76,2013-07-01,73168,71032,27115,1825455.11,1021608.04,752681.18
77,2013-08-01,80201,78391,30543,2032560.67,1131015.87,852364.24
78,2013-09-01,122682,119374,50245,3217199.36,1692031.46,1436668.69
79,2013-10-01,114824,111847,45224,3006321.21,1625346.9,1298017.15
80,2013-11-01,119118,114649,48117,3171270.91,1656708.72,1394218.7
81,2013-12-01,69806,67027,26331,1853647.79,1007787.92,769369.28
82,2014-01-01,134454,129688,56366,3578451.34,1813824.76,1628006.52
83,2014-02-01,144815,140343,58906,3848561.33,2034650.56,1687180.6
84,2014-03-01,122797,119159,48202,3227002.34,1745772.29,1374086.8
85,2014-04-01,84877,82416,30869,2193204.41,1257446.64,867731.9
86,2014-05-01,95966,92574,36444,2479766.34,1358060.01,1022349.7
87,2014-06-01,76511,73897,25791,1972241.67,1183437.72,714083.0
88,2014-07-01,78909,76505,26924,2030916.31,1208002.54,750066.44
89,2014-08-01,77542,75170,27977,2023186.41,1167716.99,787429.07
90,2014-09-01,123476,119154,47164,3290050.46,1817823.53,1345690.45
91,2014-10-01,112930,108636,41427,3004884.6,1685128.05,1193560.4
92,2014-11-01,109221,104187,41066,2957015.54,1608768.9,1196861.03
93,2014-12-01,75785,72643,26983,2049444.66,1166341.52,788638.98
94,2015-01-01,130545,125386,53132,3595038.79,1886945.88,1553789.06
95,2015-02-01,127067,122702,49643,3489779.93,1897152.95,1464493.88
96,2015-03-01,124349,120547,46263,3363721.69,1910741.21,1338668.13
97,2015-04-01,100817,97170,37824,2716310.98,1524745.69,1082089.61
98,2015-05-01,84760,82129,30966,2258960.66,1291920.85,886184.84
99,2015-06-01,84855,81947,29719,2251651.61,1311539.28,853111.36
100,2015-07-01,84500,81751,27815,2215364.46,1340249.15,797651.79
101,2015-08-01,81964,79402,28844,2216855.55,1289824.05,853259.01
102,2015-09-01,134038,129959,51450,3770395.51,2103257.72,1547677.75
103,2015-10-01,123038,119398,46712,3486960.33,1943864.62,1427792.2
104,2015-11-01,122843,118442,47744,3509207.78,1907290.76,1460343.35
105,2015-12-01,82704,80350,29943,2334431.69,1337609.98,920949.37
106,2016-01-01,132809,128707,54772,3799739.16,1984505.81,1681248.26
107,2016-02-01,138827,135644,56395,3942228.47,2116550.59,1723992.58
108,2016-03-01,114227,111719,43313,3209592.19,1826026.44,1302585.35
109,2016-04-01,118915,116220,44030,3278124.24,1878879.38,1311072.97
110,2016-05-01,89964,88048,30858,2430669.13,1461221.71,907886.56
111,2016-06-01,99962,97654,33781,2689922.31,1636308.38,979891.33
112,2016-07-01,78884,77198,25168,2097640.26,1310826.58,734915.54
113,2016-08-01,99164,96805,35560,2704269.9661,1577714.371,1058097.3283
114,2016-09-01,137638,135081,51475,3923127.8245,2263832.2023,1585102.2551
115,2016-10-01,128649,125609,47111,3725238.143,2152229.0914,1478186.9522
116,2016-11-01,134680,130780,48963,3885704.5848,2205951.5304,1548153.8602
117,2016-12-01,93263,90694,31346,2695185.8096,1615137.4442,993454.2344
118,2017-01-01,151561,147181,59533,4481179.3809,2430980.5212,1896651.3098
119,2017-02-01,136236,132710,50747,3958738.0575,2224453.0808,1618924.9077
120,2017-03-01,142558,138966,50607,4093703.893,2387045.0801,1585251.929
121,2017-04-01,92511,90004,31312,2628772.1679,1568349.205,971836.1681
122,2017-05-01,108561,105440,36174,3024290.3043,1801821.9053,1110735.3261
123,2017-06-01,91390,88775,29259,2533674.1938,1565876.5953,884523.642
124,2017-07-01,83917,81551,24901,2299320.4916,1460153.0603,760822.7394
125,2017-08-01,100714,98484,33700,2805132.0543,1696717.1793,1037532.4638
126,2017-09-01,138224,135201,47175,3988578.0189,2404818.4448,1479687.0823
127,2017-10-01,122704,120215,42374,3587279.7211,2159889.3532,1351271.6208
128,2017-11-01,136489,133403,47579,4009405.2473,2386861.9023,1526910.7602
129,2017-12-01,82201,80454,26325,2405263.4283,1493980.8848,856382.0193
130,2018-01-01,155563,151582,58253,4631063.8481,2622249.1467,1878410.3412
131,2018-02-01,129939,127141,48006,3879095.3055,2237678.9638,1548720.6358
132,2018-03-01,125241,122744,43239,3693583.0152,2222583.4485,1391131.6933
133,2018-04-01,121765,119317,42187,3533695.6228,2126772.9783,1326109.8183
134,2018-05-01,95998,94117,31199,2777285.0959,1726455.4953,986750.5494
135,2018-06-01,102702,100265,33010,2933242.8166,1824104.7332,1027479.6424
136,2018-07-01,92932,90811,27197,2627098.6698,1709260.4286,844719.7021
137,2018-08-01,112422,110309,36917,3169308.7822,1956062.767,1144405.3149
138,2018-09-01,137036,134607,47209,4033487.5037,2441771.5187,1509231.81
139,2018-10-01,145499,142646,49432,4342036.467,2646602.3547,1600019.1665
140,2018-11-01,139255,135929,47291,4173823.3581,2517373.3945999998,1547633.5842
141,2018-12-01,83075,81156,26541,2483624.6027,1545306.7377,871403.8594
142,2019-01-01,167800,163678,63204,5025550.4771,2834948.9414,2048783.5306
143,2019-02-01,146686,142752,53990,4393208.5409,2518374.6431,1755171.3024
144,2019-03-01,146652,143225,51582,4307965.6947,2547953.411,1645468.7738
145,2019-04-01,111298,108599,35211,3228253.5511,2022543.2733,1118946.7104
146,2019-05-01,120142,116793,39698,3504637.0928,2141057.1223,1253551.3747
147,2019-06-01,105774,102612,31939,3014280.6388,1919122.5236,1000745.8614
148,2019-07-01,106354,103283,29475,3002253.166,1980261.8207,926833.4781
149,2019-08-01,114516,111072,36570,3312175.923,2045918.8388,1164933.1969
150,2019-09-01,147053,143179,47218,4449359.3174,2759006.2924,1568963.3299
151,2019-10-01,143917,140415,45564,4382343.329,2751316.3887,1525192.2388
152,2019-11-01,137691,134553,43395,4211690.9149,2645572.8761,1469159.6616
153,2019-12-01,87682,85401,25336,2678342.2798,1740125.2913,866467.137
154,2020-01-01,163987,159385,57049,5115628.5965,3030800.6688,1942006.7448
155,2020-02-01,140443,137255,47237,4401189.0045,2685788.3545,1617099.4468
156,2020-03-01,148311,144406,44482,4612220.2605,2988351.2734,1506842.0481
157,2020-04-01,142868,138913,39059,4502199.3186,3054307.9785,1324191.7074
158,2020-05-01,161020,155061,44005,5186414.4817,3466266.5127,1512909.3005
159,2020-06-01,133668,128316,36395,4160837.0426,2723587.7396,1233550.5823
160,2020-07-01,127846,124163,32240,3904707.0609,2672505.6546,1104263.3653
161,2020-08-01,130124,126694,36300,3996930.9829,2641687.2022,1249233.5985
162,2020-09-01,177244,173286,50605,5624379.0419,3713078.7879,1770300.2512
163,2020-10-01,181698,175733,50868,5773425.7888,3759060.5391,1802237.5973
164,2020-11-01,171361,165778,48299,5532216.04,3620460.2009,1723862.524
165,2020-12-01,119272,115183,29953,3801842.1803,2577867.0009,1067086.8936
166,2021-01-01,190313,182978,62531,6146745.5473,3691940.5735,2214985.3623
167,2021-02-01,172974,167816,53962,5561036.4574,3479994.6979,1901626.3394
168,2021-03-01,176397,170734,51644,5653708.7222,3644984.8802,1812229.9206
169,2021-04-01,136147,131268,39855,4306683.9438,2755609.9343,1382737.8423
170,2021-05-01,131268,126508,37100,4139235.9738,2693499.4212,1285750.6628
171,2021-06-01,148112,143133,37589,4541061.8431,3088206.4848,1286180.7141
172,2021-07-01,113130,110070,26872,3479528.5299,2451592.7372,927481.2694
173,2021-08-01,121123,118020,31954,3813987.1549,2580604.0588,1126127.6788
174,2021-09-01,165820,161639,44179,5307359.366,3613847.5119,1567764.4202
175,2021-10-01,155049,151709,41627,5107366.5193,3506093.2887,1497602.7221
176,2021-11-01,147234,144362,39742,4802486.8234,3263080.507,1448694.5676
177,2021-12-01,106877,105043,27944,3513661.5011,2428871.0281,1020082.9328
178,2022-01-01,161584,158558,50965,5445730.9752,3461784.1034,1884982.4792
179,2022-02-01,151738,148779,45043,5104698.3634,3343244.6315,1661925.4478
180,2022-03-01,155992,153218,44702,5189808.2336,3449409.1316,1640181.1871
181,2022-04-01,118120,116201,32131,3841737.1999,2619905.3162,1166847.9967
182,2022-05-01,139567,137067,38354,4534720.745,3087478.0422,1373860.1292
183,2022-06-01,118362,116393,30392,3790504.8977,2652530.5732,1078054.2065
184,2022-07-01,109000,106815,26886,3551344.186,2515258.9847,974594.909
185,2022-08-01,119380,116720,30861,4118348.8384,2840352.563,1191624.3519
186,2022-09-01,157948,154988,42959,5833755.4293,4005506.7081,1738298.6569
187,2022-10-01,130553,128338,34132,4844810.2567,3370772.7218,1397016.3145
188,2022-11-01,148155,144932,40477,5477502.2888,3730232.5682,1669077.2632
189,2022-12-01,99472,96851,24872,3733815.2579,2582837.1465,1054774.6704
190,2023-01-01,145359,141631,43268,5735096.8125,3714647.8763,1903545.0596
191,2023-02-01,119185,115364,34247,4690438.2205,3048316.8894,1519989.46
192,2023-03-01,134490,131415,39816,5302131.3451,3451270.4833,1752801.4924
193,2023-04-01,99636,96688,27860,3930665.5737,2602483.3435,1230481.0656
194,2023-05-01,103963,100418,28803,4111515.3775,2711819.4235,1279167.2192
195,2023-06-01,110517,107841,28669,4273882.6648,2940211.836,1244217.7477
196,2023-07-01,94278,92280,22639,3589312.9879,2536254.2912,981284.4256
197,2023-08-01,107470,106014,29168,4223125.5639,2867862.9526,1302531.2232
198,2023-09-01,130620,128706,35935,5310317.7983,3610113.0321,1645765.6001
199,2023-10-01,125946,123914,34844,5141854.6895,3462720.4976,1608677.4094
200,2023-11-01,138613,134746,39517,5724536.403,3686274.7953,1848210.3349
201,2023-12-01,89150,87412,20730,3476759.4134,2434247.2006,959185.5429
202,2024-01-01,156287,153403,48270,6194614.2405,3958782.7292,2171889.0097
203,2024-02-01,129322,125661,38827,5201197.1969,3288219.0322,1755281.5222
204,2024-03-01,125916,122062,36433,4971009.4096,3195805.4489,1621979.0453
205,2024-04-01,120387,115403,33513,4733661.4655,3081361.3596,1481127.046
206,2024-05-01,96803,92822,24269,3741382.6749,2522723.543,1060072.2633
207,2024-06-01,106822,98560,16537,4079900.8433,3134081.4337999998,708683.7603
208,2024-07-01,29663,18901,39,1123010.2123,723592.3188,1656.3
